,objectid,wellwidth,welllength,pareawidth,lowwell,latitude,longitude,genus
0,1,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
1,2,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
2,3,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,gleditsia
3,4,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,photinia
4,5,4.0,9.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
5,6,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,liquidambar
6,7,2.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
7,8,5.0,7.0,0.0,None,37.80505999961946,-122.27301999967312,NaN
8,9,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
9,10,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,liquidambar
10,11,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,liquidambar
11,12,7.0,7.0,0.0,Low,37.80505999961946,-122.27301999967312,NaN
12,13,4.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,liquidambar
13,14,1.0,2.0,0.0,Moderate,37.80505999961946,-122.27301999967312,platanus
14,15,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
15,16,5.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
16,17,2.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
17,18,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,tristaniopsis
18,19,2.0,2.0,0.0,High,37.80505999961946,-122.27301999967312,fraxinus
19,20,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,NaN
20,21,5.0,7.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
21,22,6.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,pyrus
22,23,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,dead
23,24,6.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,liquidambar
24,25,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,tristaniopsis
25,26,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,podocarpus
26,27,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,NaN
27,28,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,pyrus
28,29,6.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,NaN
29,30,3.0,2.0,0.0,None,37.80505999961946,-122.27301999967312,gleditsia
30,31,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
31,32,5.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,prunus
32,33,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,prunus
33,34,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,acer
34,35,5.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
35,36,3.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,ginkgo
36,37,2.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,prunus
37,38,3.0,6.0,0.0,High,37.80505999961946,-122.27301999967312,schinus
38,39,2.0,2.0,0.0,Low,37.80505999961946,-122.27301999967312,magnolia
39,40,4.0,8.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
40,41,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,cinnamomum
41,42,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,callistemon
42,43,3.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
43,44,3.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
44,45,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,pyrus
45,46,3.0,4.0,0.0,High,37.80505999961946,-122.27301999967312,alnus
46,47,2.0,2.0,0.0,None,37.80505999961946,-122.27301999967312,gleditsia
47,48,5.0,7.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
48,49,5.0,5.0,0.0,Moderate,37.80505999961946,-122.27301999967312,magnolia
49,50,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,washingtonia
50,51,3.0,9.0,0.0,High,37.80505999961946,-122.27301999967312,NaN
51,52,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
52,53,3.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
53,54,6.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,gleditsia
54,55,2.0,2.0,0.0,None,37.80505999961946,-122.27301999967312,tristaniopsis
55,56,3.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
56,57,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
57,58,3.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,podocarpus
58,59,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,liquidambar
59,60,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,lagerstroemia
60,61,4.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,gleditsia
61,62,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,acacia
62,63,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,pyrus
63,64,2.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
64,65,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,nyssa
65,66,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,photinia
66,67,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,photinia
67,68,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,lophostemon
68,69,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,ginkgo
69,70,6.0,10.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
70,71,6.0,10.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
71,72,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,pyrus
72,73,3.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
73,74,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,gleditsia
74,75,2.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
75,76,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
76,77,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
77,78,2.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
78,79,2.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
79,80,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,podocarpus
80,81,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,podocarpus
81,82,3.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,robinia
82,83,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,olea
83,84,4.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,liquidambar
84,85,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,ginkgo
85,86,3.0,9.0,0.0,Moderate,37.80505999961946,-122.27301999967312,liquidambar
86,87,5.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,sequoia
87,88,0.0,0.0,2.0,None,37.80505999961946,-122.27301999967312,pyrus
88,89,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,prunus
89,90,3.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,pyrus
90,91,3.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,quercus
91,92,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
92,93,4.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
93,94,4.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
94,95,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,platanus
95,96,4.0,4.0,0.0,Moderate,37.80505999961946,-122.27301999967312,maytenus
96,97,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,eucalyptus
97,98,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,prunus
98,99,5.0,7.0,0.0,Moderate,37.80505999961946,-122.27301999967312,robinia
99,100,0.0,0.0,2.0,None,37.80505999961946,-122.27301999967312,alnus
100,101,4.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
101,102,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
102,103,5.0,9.0,0.0,Moderate,37.80505999961946,-122.27301999967312,magnolia
103,104,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,prunus
104,105,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,platanus
105,106,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
106,107,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
107,108,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
108,109,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,pyrus
109,110,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,podocarpus
110,111,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
111,112,4.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
112,113,2.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,prunus
113,114,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
114,115,2.0,2.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
115,116,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
116,117,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
117,118,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
118,119,2.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,lagerstroemia
119,120,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
120,121,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,magnolia
121,122,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,platanus
122,123,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,magnolia
123,124,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,ulmus
124,125,2.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,prunus
125,126,5.0,10.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
126,127,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
